request_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_duration_mins,price_usd
2024-06-04 14:21:00,40.768779,-73.970069,40.719505,-73.962216,17.5,8.11
2024-06-14 18:33:00,40.768567,-74.000426,40.765419,-74.021811,12.8,16.47
2024-06-24 13:24:00,40.764531,-73.963333,40.748688,-73.978202,33.0,7.45
2024-06-28 21:34:00,40.748867,-73.976715,40.771244,-73.950796,8.3,9.66
2024-06-15 14:06:00,40.751536,-74.004241,40.686028,-74.008595,7.6,7.0
2024-06-29 06:43:00,40.738708,-73.971438,40.813888,-73.908041,4.2,10.86
2024-06-20 00:03:00,40.750077,-73.970917,40.736696,-74.023342,35.7,7.0
2024-06-15 16:26:00,40.763652,-74.016881,40.811952,-74.023161,7.5,43.71
2024-06-11 14:36:00,40.754091,-74.033803,40.775779,-74.050646,8.7,7.0
2024-06-28 01:55:00,40.774185,-73.993299,40.783798,-73.970042,14.7,18.57
2024-06-06 15:13:00,40.76325,-73.999967,40.770306,-73.970296,4.7,111.6
2024-06-03 17:46:00,40.761796,-73.972512,40.764,-74.011137,3.0,14.5
2024-06-25 17:53:00,40.740643,-73.998543,40.726049,-74.038796,47.2,7.15
2024-06-26 11:00:00,40.73347,-73.997264,40.746066,-74.020475,8.8,14.98
2024-06-27 01:13:00,40.735474,-73.94896,40.729361,-73.932485,13.5,22.38
2024-06-17 17:57:00,40.779757,-73.960015,40.796128,-73.946913,8.6,21.22
2024-06-08 18:24:00,40.723457,-74.015662,40.735752,-74.064597,29.7,7.0
2024-06-03 02:02:00,40.761798,-73.958166,40.749747,-73.949353,10.8,12.86
2024-06-18 17:59:00,40.761809,-73.953787,40.746659,-73.949036,13.1,66.34
2024-06-02 22:13:00,40.744315,-73.987913,40.752303,-73.989676,17.1,19.95
2024-06-08 02:07:00,40.757282,-73.992935,40.769892,-73.975277,4.8,69.79
2024-06-01 18:43:00,40.761425,-74.02291,40.74658,-74.016092,5.1,15.59
2024-06-30 12:04:00,40.734897,-74.011965,40.704633,-74.009539,27.5,11.71
2024-06-10 18:27:00,40.742211,-73.987303,40.749817,-73.952313,6.1,17.09
2024-06-16 21:09:00,40.755318,-73.994497,40.765922,-73.948642,4.9,21.89
2024-06-17 06:24:00,40.755934,-73.99194,40.75941,-74.004239,3.0,29.66
2024-06-17 23:00:00,40.729562,-73.977921,40.726724,-73.979833,38.1,112.35
2024-06-24 08:29:00,40.758066,-73.949554,40.781884,-73.929393,5.9,37.2
2024-06-20 09:34:00,40.758823,-73.996864,40.729639,-74.00252,3.0,7.0
2024-06-18 23:26:00,40.776316,-73.996829,40.751176,-73.975944,15.6,7.0
2024-06-29 04:24:00,40.755896,-73.987733,40.738702,-73.983853,14.6,27.03
2024-06-15 22:16:00,40.748261,-73.990299,40.744761,-73.967011,26.2,40.45
2024-06-08 03:49:00,40.771674,-73.951171,40.75262,-73.931037,30.0,23.13
2024-06-08 05:04:00,40.778601,-73.988991,40.760181,-73.991511,22.1,7.0
2024-06-30 12:37:00,40.728626,-73.966853,40.75582,-73.939951,3.0,26.19
2024-06-19 04:42:00,40.745817,-73.933293,40.743341,-73.91193,6.9,7.0
2024-06-27 16:59:00,40.713991,-73.950317,40.738053,-73.880757,3.0,13.88
2024-06-30 06:01:00,40.73703,-73.988692,40.737172,-74.043784,23.8,46.39
2024-06-20 08:48:00,40.785938,-73.994391,40.76457,-73.974409,8.9,15.64
2024-06-29 03:56:00,40.734746,-74.004181,40.767962,-73.972892,5.6,18.18
2024-06-29 19:14:00,40.765516,-73.982975,40.753402,-73.916154,14.6,7.0
2024-06-12 19:17:00,40.764395,-74.016603,40.774554,-74.032049,22.3,9.59
2024-06-12 08:27:00,40.744509,-73.940265,40.766556,-73.936932,7.4,13.65
2024-06-15 14:52:00,40.747096,-73.995963,40.741418,-74.009781,11.2,7.0
2024-06-19 22:26:00,40.784027,-73.984273,40.776432,-73.93095,3.5,7.0
2024-06-13 12:24:00,40.775047,-73.9796,40.751534,-74.00269,9.5,9.45
2024-06-17 23:39:00,40.800923,-74.009026,40.804042,-74.023723,10.2,7.0
2024-06-17 23:39:00,40.705079,-73.965016,40.682066,-74.008666,6.9,88.4
2024-06-17 17:08:00,40.766858,-73.975559,40.758515,-74.05941,14.4,22.55
2024-06-13 07:47:00,40.708481,-73.990494,40.697658,-73.99029,28.0,36.09
2024-06-10 15:17:00,40.755341,-73.977401,40.738217,-73.980468,20.9,7.0
2024-06-07 16:04:00,40.751664,-73.986667,40.759502,-73.993591,3.2,7.0
2024-06-23 00:07:00,40.733153,-73.985274,40.767284,-73.966963,35.9,88.64
2024-06-07 02:12:00,40.743967,-73.998377,40.767194,-73.97531,7.8,11.47
2024-06-05 11:21:00,40.750069,-73.982577,40.691654,-74.003179,11.9,22.22
2024-06-25 21:05:00,40.764796,-73.976568,40.765887,-73.974689,31.6,12.05
2024-06-27 03:35:00,40.733119,-74.001482,40.799547,-74.004979,19.9,17.52
2024-06-16 00:30:00,40.741293,-73.979237,40.743931,-73.979134,3.6,30.37
2024-06-20 04:03:00,40.766433,-74.02353,40.756392,-73.9787,8.5,82.18
2024-06-04 20:12:00,40.770422,-73.960142,40.80866,-73.947766,10.9,55.96
2024-06-04 11:26:00,40.808632,-74.009459,40.807754,-73.978374,27.9,7.0
2024-06-17 10:30:00,40.759384,-74.019467,40.794396,-74.025644,9.1,7.0
2024-06-14 02:14:00,40.768686,-73.994995,40.763552,-74.029109,6.6,7.0
2024-06-21 12:07:00,40.751532,-73.98038,40.763903,-73.948223,15.2,19.98
2024-06-26 01:56:00,40.784067,-73.990849,40.764893,-73.968926,3.0,7.0
2024-06-06 05:50:00,40.737363,-73.968626,40.767186,-73.982874,11.5,12.02
2024-06-04 06:29:00,40.754673,-73.989625,40.753089,-73.995073,17.6,25.69
2024-06-30 15:34:00,40.761034,-73.98881,40.764845,-73.972398,3.0,13.48
2024-06-06 16:44:00,40.765782,-73.987407,40.793737,-73.976546,37.4,14.85
2024-06-05 19:54:00,40.774734,-73.950466,40.788463,-73.954255,23.7,23.96
2024-06-20 23:00:00,40.75194,-73.992832,40.746753,-74.025659,7.0,25.09
2024-06-16 13:53:00,40.773862,-73.934206,40.73213,-73.876894,24.5,47.3
2024-06-18 11:32:00,40.727717,-73.944712,40.724344,-73.94495,18.1,7.0
2024-06-01 22:10:00,40.761047,-74.008072,40.750262,-73.973584,12.4,33.37
2024-06-30 00:08:00,40.718254,-73.965763,40.718705,-74.039252,8.1,7.0
2024-06-25 14:35:00,40.751484,-73.996612,40.745126,-74.033658,37.2,48.8
2024-06-29 23:57:00,40.806016,-73.981316,40.843553,-73.948223,12.9,7.0
2024-06-04 11:38:00,40.761327,-74.016253,40.777339,-74.021829,22.1,20.29
2024-06-05 15:02:00,40.746463,-73.985926,40.735974,-73.954307,6.4,7.0
2024-06-22 08:07:00,40.766297,-73.92839,40.787068,-73.946108,27.5,9.93
2024-06-05 09:35:00,40.755054,-73.999702,40.798187,-74.003671,3.9,7.0
2024-06-10 00:39:00,40.733504,-73.968808,40.714371,-73.991615,12.1,7.0
2024-06-13 08:10:00,40.719108,-73.981119,40.712219,-73.951773,3.0,39.15
2024-06-16 06:32:00,40.755752,-73.994195,40.735394,-74.004158,33.0,70.94
2024-06-07 07:10:00,40.75211,-73.959233,40.763075,-73.934299,3.0,10.34
2024-06-24 02:34:00,40.750924,-73.992715,40.81344,-73.947472,11.0,7.0
2024-06-03 15:25:00,40.772878,-73.984272,40.808348,-73.990318,26.5,36.62
2024-06-29 16:11:00,40.783842,-73.978749,40.774294,-73.981535,34.7,26.17
2024-06-29 19:43:00,40.770895,-73.959103,40.790094,-73.974584,8.2,31.03
2024-06-06 01:39:00,40.749688,-73.991288,40.786673,-73.931731,32.7,22.31
